,index,artist,title,mood,lyrics
415,417,Apocalyptica,Bittersweet,sad,im giving up the ghost of love and a shadow is cast on devotion she is the one that i adore queen of my silent suffocation break this bittersweet spell on me lost in the arms of destiny bittersweet i wont give up im possessed by her im bearing a cross shes turned into my curse break this bittersweet spell on me lost in the arms of destiny bittersweet i want you oh how i wanted you and i need you how i needed you break this bittersweet spell on me lost in the arms of destiny break this bittersweet spell on me lost in the arms of destiny bittersweet
416,418,Robin Williams,Friend Like Me,happy,well ali baba had them forty thieves scheherazade had a thousand tales but master you in luck cause up your sleeves you got a brand of magic never fails you got some power in your corner now some heavy ammunition in your camp you got some punch pizzazz yahoo and how see all you gotta do is rub that lamp and ill say mister aladdin sir what will your pleasure be let me take your order jot it down you aint never had a friend like me ha ha ha life is your restaurant and im your maitre d come on whisper what it is you want you aint never had a friend like me yes sir we pride ourselves on service youre the boss the king the shah say what you wish its yours true dish how bout a little more baklava have some of column a try all of column b im in the mood to help you dude you aint never had a friend like me wah ah ah oh my wah ah ah no no wah ah ah my my can your friends do this can your friends do that can your friends pull this out their little hat can your friends go poof hey looky here ha ha can your friends go abracadabra let er rip and then make the sucker disappear so dont cha sit there slack jawed buggy eyed im here to answer all your midday prayers you got me bona fide certified you got a genie for your charge daffaires i got a powerful urge to help you out so whats your wish i really wanna know you got a list thats three miles long no doubt well all you gotta do is rub like so hey oh mister aladdin sir have a wish or two or three im on the job you big nabob you aint never had a friend never had a friend you aint never had a friend never had a friend you aint never had a friend like me ya ha ha wah ha ha you aint never had a friend like me ha
417,419,Roxy Music,Just Another High,sad,maybe your heart is aching i wouldnt know now would i maybe your spirits breaking up i shouldnt care now should i maybe youre thinking of me well i dont know now do i if only you knew how i feel wish i could die now dont i im just another crazy guy playing at love was another high just another high couldnt believe in my eyes you drifted into my life but marriages made in heaven can they survive in this life surely it came as no surprise love was too hot to handle well i really blew my cool and you you just blew out the candle didnt you just try just another high didnt you sigh as you waved goodbye just another high im just another crazy guy playing with love was another high such a crazy high lately it seems so empty here but i suppose im alright maybe tomorrows not so clear still i remember that night singing to you like this is my only way to reach you and though im too proud to say it oh how i long too see you shattered by dreams by your goodbye scattered my hopes and filled the sky desolate am i im just another crazy guy playing at love was another high just another high just another high just another high just another high just another high just another high such a crazy high just another high just another high maybe i should start anew just another high and maybe ill find someone who just another high will maybe love me like i love you just another high maybe im too stuck on you just another high maybe i got stuck on you just another high
418,420,XTC,Senses Working Overtime,angry,hey hey the clouds are whey theres straw for the donkeys and the innocents can all sleep safely all sleep safely my my sun is pie theres fodder for the cannons and the guilty ones can all sleep safely all sleep safely and all the world is football shaped its just for me to kick in space and i can see hear smell touch taste and ive got one two three four five senses working overtime trying to take this all in ive got one two three four five senses working overtime trying to taste the difference tween a lemon and a lime pain and pleasure and the church bells softly chime hey hey night fights day theres food for the thinkers and the innocents can all live slowly all live slowly my my the sky will cry jewels for the thirsty and the guilty ones can all die slowly all die slowly and all the world is biscuit shaped its just for me to feed my face and i can see hear smell touch taste and ive got one two three four five senses working overtime trying to take this all in ive got one two three four five senses working overtime trying to taste the difference tween a lemon and a lime pain and pleasure and the church bells softly chime and birds might fall from black skies whoo whoo and bullies might give you black eyes whoo whoo and buses might skid on black ice whoo whoo but to me theyre very very beautiful englands glory beautiful a striking beauty and all the world is football shaped its just for me to kick in space and i can see hear smell touch taste and ive got one two three four five senses working overtime trying to take this all in ive got one two three four five senses working overtime trying to tell the difference tween the goods and crime dirt and treasure and ive got one two three four five senses working overtime trying to take this all in ive got one two three four five senses working overtime trying to taste the difference tween a lemon and a lime pain and pleasure and the church bells softly chime
419,421,Jimmy Eat World,Dizzy,sad,you close your eyes and kiss your hand then you blow it but it isnt meant for me and i notice if the choice was ours alone then whyd we both choose letting go does it end like this time never had a chance to heal your heart just a number always counting down to a new start if you always knew the truth then the world would spin around you are you dizzy yet respectfully some honesty im calling out do you hear the conversation we talk about back away to the safety of a quiet house if theres half a chance in this moment when your eyes meet mine we show it off all talk and not a lot to think we were living dreams and shame never crept close to our naked feet if theres something left to lose then dont let me wear out my shoes im still walking i tried but it rang and rang i called all night on a payphone remember those from another life if everything i meant to you you can lick and seal then fold in two then ive been so blind respectfully some honesty im asking now do you hear the conversation we talk about back away to the safety of a quiet house if theres half a chance in this moment when your eyes meet mine we show it off oh oh take it all back take the first the last and only oh oh take it all back take it all back everything you showed me oh oh this must be how it feels when the feeling goes i told you as i hovered i never felt this way you said i have the shot that stops my clock baby its ok you said youd never have regrets jesus is there someone yet who got their wish did you get yours babe respectfully some honesty im asking now do you hear the conversation we talk about back away to the safety of a quiet house if theres half a chance in this moment when your eyes meet mine we show it off
420,422,Nightwish,Angels Fall First,sad,an angelface smiles to me under a headline of tragedy that smile used to give me warmth farewell no words to say beside the cross on your grave and those forever burning candles needed elsewhere to remind us of the shortness of our time tears laid for them tears of love tears of fear bury my dreams dig up my sorrows oh lord why the angels fall first not relieved by thoughts of shangri la nor enlightened by the lessons of christ ill never understand the meaning of the right ignorance lead me into the light needed elsewhere to remind us of the shortness of our time tears laid for them tears of love tears of fear bury my dreams dig up my sorrows oh lord why the angels fall first sing me a song of your beauty of your kingdom let the melodies of your harps caress those whom we still need yesterday we shook hands my friend today a moonbeam lightens my path my guardian
421,423,Propaganda,Wound In My Heart,relaxed,youve been just an early entry in my diary another page i had to fill inside a book of a thousand i turn the page but my heart it aches living my life without you it seems like something is missing something is missing without you i close my eyes and remember why so much is missing without you but when i start to write again theres a gap in my life thats too large to fill a wound in my heart that no doctor can heal theres a ghost in my mind who is haunting all night there is trust deep inside brings you back to my side myself deceiving youve been another colour to the picture im painting from the memory i have of you but all the colours turn into blue what you see is a part of me living my life without you it seems like something is missing something is missing without you but when i start to write again it seems like something is missing something is missing without you i close my eyes but i must be blind so much is missing without you life goes on i will be strong living my life without you but once in a while i realise that so much is missing without you theres a gap in my life thats too large to fill a wound in my heart that no doctor can heal theres a ghost in my mind who is haunting all night there is trust deep inside brings you back to my side theres a gap in my life thats too large to fill a wound in my heart that no doctor can heal theres a ghost in my mind who is haunting all night there is trust deep inside myself deceiving myself deceiving but when i start to write again theres a gap in my life thats too large to fill a wound in my heart that no doctor can heal theres a ghost in my mind who is haunting all night there is trust deep inside myself deceiving theres a gap in my life thats too large to fill a wound in my heart that no doctor can heal theres a ghost in my mind who is haunting all night there is trust deep inside myself deceiving myself deceiving
422,424,Suburban Kids With Biblical Names,Seems To Be on My Mind,happy,lost track of what i had to get done not meeting anyone stuck in one place while the snowflakes all come down oh theyre coming down yeah theyre coming down now poke fun at my incompetence doesnt make that much sense my qualification shrinks as im getting old as im getting old as im getting older all the while love seems to be on my mind seems to be all the time this is the way i always start my songs singing and swinging along singing and swinging along oh no that anonymous feeling is true so vague and pale that blue spending all my quality time with the t v is the last thing i should do its the last thing i should do so long for respectable thoughts i roam plus forty four long distance call making me wish i was not here at home now tell me all about rome tell me all about rome love seems to be on my mind seems to be all the time oh what a lovely way to spend your life not needing anything just walk around and sing i took a train i took a plane i had to get out of this place and find my love where had she gone she was lost in all this stress why must i work when i can just travel the world and have fun im a young boy with a lot of things on my mind love seems to be on my mind seems to be all the time this is the way i always end my songs singing and swinging along singing and swinging along love seems to be on my mind seems to be all the time this is the way i always end my songs singing and swinging along singing and swinging along
423,425,Celtic Woman,The Wexford Carol,relaxed,good people all this christmas time consider well and bear in mind what our good god for us has done in sending his beloved son with mary holy we should pray to god with love this christmas day in bethlehem upon that morn there was a blessed messiah born near bethlehem did shepherds keep their flocks of lambs and feeding sheep to whom gods angels did appear which put the shepherds in great fear arise and go the angels said to bethlehem be not afraid for there youll find this happy morn a princely babe sweet jesus born with thankful heart and joyful mind the shepherds went the babe to find and as gods angel had foretold they did our saviour christ behold within a manger he was laid and by his side the virgin maid as long foretold upon that morn there was a blessed messiah born zero
424,426,Beatallica,Everybody's Got A Ticket To Ride Except For Me And My Lightning,happy,cmon its such a joy cmon you metal boy cmon lets take it easy cmon lets make it sleazy take it easy make it sleazy everybodys got a ticket to ride except for me and my lightning your insides ooze out the electrodes are in the electrodes are in so your eyeballs pop out someone controlling me cant be happening to me take it easy make it fuckin sleazy everybodys got a ticket to ride except for me and my lightning sweat chilling cold i watch death unfold how true is this get it over with so come on take it easy make it leazy everybodys got a ticket to ride except for me and my lightning come on come on i said come on i think im gonna be dead i think its today electric wires pinned to my head im frying away ive got a ticket to ride ive got a ticket to ri i i ide ive got a ticket to ride the lightning yeah death is in the air its bringing me down strapped in the electric chair death is all around yo ive got a ticket to ride ive got a ticket to ri i i ide ive got a ticket to ride the lightning yeah before i get to riding so high someone help me oh please god help me flashing before my eyes someone help me oh please god help me wakened by horrid scream burning in my brain freed from this frightening dream i can feel the flame ive got a ticket to ride ive got a ticket to ri i i ide ive got a ticket to ride the lightning yeah
425,427,Sade,Babyfather,relaxed,we were waiting for the bus no one much around but us then i see this young boy cut a look at me im stunned in a daze he had the whole street set ablaze its only love they say makes you feel this way she liked his eyes she wanted more the baby gonna have your smile for sure he saw a lovely girl smelling sweet and soapy like fresh air she saw him looking acted like she didnt care thats how we knew and so love grew a flower a flower that is you your daddy knows youre a flame your daddy knows youre a flame your daddy knows youre a flame your daddy knows youre a flame even to the angels it may sound like a lie for you child he has the troops and extra backup standing by for you child for you hes the best he can be for you child for you hes the best he can be oh child dont you know your daddy love come with a life time guarantee your daddy knows youre a flame your daddy knows youre a flame yeah daddy love you child your daddy knows youre a flame your daddy knows youre a flame daddy love you yeah its only you hell say made the young boy hungry for the man he is today its only love love love love can make you feel this way your daddy knows youre a flame your daddy knows youre a flame yeah daddy love you child your daddy knows youre a flame your daddy knows youre a flame your daddy love come with a life time guarantee your daddy knows youre a flame your daddy knows youre a flame daddy love you yeah your daddy knows youre a flame your daddy knows youre a flame your daddy love come with a life time guarantee
426,428,Harvey Danger,Flagpole Sitta,happy,i had visions i was in them i was looking into the mirror to see a little bit clearer the rottenness and evil in me fingertips have memories mine cant forget the curves of your body and when i feel a bit naughty i run it up the flagpole and see who salutes but no one ever does im not sick but im not well and im so hot cause im in hell been around the world and found that only stupid people are breeding the cretins cloning and feeding and i dont even own a tv put me in the hospital for nerves and then they had to commit me you told them all i was crazy they cut off my legs now im an amputee goddamn you im not sick but im not well and im so hot cause im in hell im not sick but im not well and its a sin to live so well i wanna publish zines and rage against machines i wanna pierce my tongue it doesnt hurt it feels fine the trivial sublime id like to turn off time and kill my mind you kill my mind mind paranoia paranoia everybodys comin to get me just say you never met me im runnin underground with the moles diggin holes hear the voices in my head i swear to god it sounds like theyre snoring but if youre bored then youre boring the agony and the irony theyre killing me whoa im not sick but im not well and im so hot cause im in hell im not sick but im not well and its a sin to live this well one two three four
427,429,The Avett Brothers,If It's The Beaches,sad,dont say its over cause thats the worst news i could hear i swear that i will do my best to be here just the way you like it even though its hard to hide push my feelings all aside i will rearrange my plans and change for you if i could go back thats the first thing i would do i swear that i would do my best to follow through come up with a master plan a homerun hit a winning stand a guarantee and not a promise that ill never let your love slip from my hands if its the beaches if its the beaches sands you want then you will have them if its the mountains bending rivers then you will have them if its the wish to run away then i will grant it take whatever you think of while i go gas up the truck pack the old love letters up we will read them when we forget why we left here
428,430,The Get Up Kids,The Company Dime,happy,i watched it all come crashing down on the verge of a world profound standing on unstable ground adding insult to irony i think its really gonna happen this time calls are on the company dime reluctance ties up the line with irresponsibility no matter save for a friend no argument can amend irreplaceable but in the end one star player doesnt save a team now youre open to attack our burden rests on your back replace re track responsibility im still waiting for im still waiting for you to get over this still waiting for im still waiting for you to get over this still waiting for im still waiting for you to get over this anonymous until the ending spent a long long time pretending and a longer day spent accepting what the world ahead would store you only learn by not believing that the industry is unforgiving everything that youve been giving isnt what it was before im still waiting for im still waiting for you to get over this still waiting for im still waiting for you to get over this still waiting for im still waiting for you to get over this replace re track replace re track replace re track im still waiting for im still waiting for you to get over this still waiting for im still waiting for you to get over this still waiting for im still waiting for you to get over this
429,431,In Flames,Evil in a Closet,sad,we were one in words you finished my sentence i could never attract tomorrow it pushes me aside i sink in waters deep your presence kept me floating far from depths where secrets lie maybe in another lifetime i can be the first you meet i once read a poem held my breath but that moments gone first time i felt life somewhat hurts i need an option a reason and some hope yell at me i want to be your light that shines but my ground is shaking and i might fall i wish that i could say i wish that i could be your evil evil in a closet yell at me i want to be your light that shines but my ground is shaking and i might fall i wish that i could say i wish that i could be your evil evil in a closet
430,432,Vanessa Carlton,More Than This,relaxed,cradling stones hold fire bright as crickets call out to the moonlight and as you lean in to steal a kiss ill never need more than this we all share the pain of our histories but the ache goes away if you could see this night under stars well i call it peace if you say ill never need more than this and the trees grow so thick you can barely see through and the forest bestows all the simplest of truths and you think youll be happy if granted one more wish but the truth is youll never need more youll never need more youll never need more than this want so much in this life theres so much to be and we sail through our youth so impatiently until we see that the years move along and soldiers and heroes come home and they carry a song dont live in forgotten times may this always remind you of the sea under the skys blue looking glass lets make this our story lets live in the glory time it fades away precious as a song cause someday well be gone cradling stones hold fire bright as we watch the glow of the morning light someday our bones here they will lie and so we sing as the years move along and soldiers and heroes come home and they carry a song lets make this our story lets live in the glory time it fades away precious as a song cause someday well be gone
431,433,Riverside,I Turned You Down,sad,i turned you down so hastily and its tearing me apart in my heart of hearts im screaming in my heart of hearts i cry and its cold so cold i turned you down i turned you down so thoughtlessly and its tearing me apart in my heart of hearts im screaming in my heart of hearts i cry how i wish you told me that i wish youd told me that before i wish youd told me that before i wish youd told me that before i turned you down down down down i turned you down down down i turned you down down down i turned you i wish youd told me that before i wish youd told me that before i wish youd told me that before i wish youd told me that before
432,434,Kathy Mattea,Where've You Been,sad,claire had all but given up when she and edwin fell in love she touched his face and shook her head in disbelief she sighed and said in many dreams ive held you near now at last youre really here whereve you been ive looked for you forever and a day whereve you been im just not myself when youre away he asked her for her hand for life then she became a salesmans wife he was home each night by eight but one stormy evening he was late her frightened tears fell to the floor until his key turned in the door whereve you been ive looked for you forever and a day whereve you been im just not myself when youre away theyd never spent a night apart for sixty years she heard him snore now theyre in a hospital in separate beds on different floors claire soon lost her memory forgot the names of family she never spoke a word again and then one day they wheeled him in he held her hand and stroked her hair and in a fragile voice she said whereve you been ive looked for you forever and a day whereve you been im just not myself when youre away no im just not myself when youre away
433,436,The Doobie Brothers,It Keeps You Runnin',relaxed,say where you gonna go girl where you gonna hide you go on leavin out your heart and all its sayin down deep inside oh darlin from here i can feel your heartbeat oh you got me all wrong you aint got no worry you just been lonely too long oh i know i know what it means to hide your heart from a long time ago oh darlin it keeps you runnin yeah it keeps you runnin it keeps you runnin it keeps you runnin yeah it keeps you runnin it keeps you runnin it keeps you runnin yeah it keeps you runnin well it keeps you runnin yeah it keeps you runnin oh i know how you feel hey you know i been there but what youre keepin to yourself oh you know it just aint fair oh darlin are you gonna worry for the rest of your life hey yeah why you in such a hurry to be lonely one more night hey yeah well i know what it means to hide your heart from a long time ago oh darlin it keeps you runnin yeah it keeps you runnin it keeps you runnin hey yeah it keeps you runnin yeah it keeps you runnin i know it does baby it keeps you runnin yeah it keeps you runnin it keeps you runnin yeah it keeps you runnin it keeps you runnin
434,437,Dope,Everything Sucks,angry,if somebodys askin ive gone away yeah somebodys packin and gone today the summer was lovely and i enjoyed my stay maybe ill be back one day sorry to hurry but ill miss my plane dont worry about me ill be okay see ya the next time maybe youll stop by maybe well ill try hopefully but i guess i never cared that much yeah i never kept in touch yeah and most of all what really sucks is everything and all of us so and so called me yesterday so and so tells me that sos okay i dont know took me far away hopefully ill be back one day so many places so many faces everything changes and everythings the same so many places so many faces everything changes yeah typical but i guess i never cared that much yeah i never kept in touch yeah and most of all what really sucks is everything and all of us everything sucks everything sucks i never cared that much yeah i never kept in touch yeah and most of all what really sucks is everything and all of us
435,438,The Puppini Sisters,Soho Nights,happy,soho nights were my favourite they were the nights so full of flavour fun was free and talk was cheap drinks were dirty like the streets soho nights were when youd find those who would seem so out of their minds make believing they were stars dragging at criss crossing bars soho so long weve had our fun soho so you not me my love soho so there so now were done you remember when we would play life with you was a beautiful game soho so long you remember when we would play life with you was a beautiful game soho so long soho nights were the times we reveled in each others company we danced like fools and acted like queens among the type with some red jeans soho nights were thrilling rides the more fun we had the more makeup would slide the more the makeup would slide id see soho really wasnt for me soho so long weve had our fun soho so you not me my love soho so there so now were done you remember when we would play life with you was a beautiful game soho so long you remember when we would play life with you was a beautiful game soho so long you remember when we would play life with you was a beautiful game soho so long soho nights were so black and white the color came throughout the night the more we took like everyone else the more alive the both of us felt soho nights opened my eyes ive become a hag by your side i thought wed last but i was wrong soho boys dont keep ties for long soho so long weve had our fun soho so you not me my love soho so there so now were you remember when we would play life with you was a beautiful game soho so long you remember when we would play life with you was a beautiful game soho so long
436,439,Sparta,Echodyne Harmonic,relaxed,they say it takes a ring of gold to fix the outer shell so hold on until they return enslave the native tongue to mine their freedom out so hold on and dont give in our world is only what were told how do we know life spans one thousand years have gone but just a minute above so hold on until they return sheltered thoughts and fears if they claim whats theirs so hold on and dont give in our world is only what were told how do we know our world is only what were told how do we know so hold on fading out now were fading out fading out now were fading out so hold on fading out now were fading out fading out now were fading out so hold on fading out now were fading out fading out now were fading out so hold on fading out now were fading out fading out now were fading out so hold on
437,440,Motorhead,Ace of Spades,angry,if you like to gamble i tell you im your man you win some lose some its all the same to me the pleasure is to play it makes no difference what you say i dont share your greed the only card i need is the ace of spades the ace of spades playing for the high one dancing with the devil going with the flow its all a game to me seven or eleven snake eyes watching you double up or quit double stake or split the ace of spades the ace of spades you know im born to lose and gamblings for fools but thats the way i like it baby i dont wanna live forever and dont forget the joker pushing up the ante i know you got to see me read em and weep the dead mans hand again i see it in your eyes take one look and die the only thing you see you know its gonna be the ace of spades the ace of spades
438,441,Cowboy Junkies,Lay It Down,relaxed,he left his dead in the cottonwood trees the ground grown too hard with the years falling down was not what it used to be the ground grown too hard with the years he told his children those little white lies the truth would only paralyze them he told himself those little white lies the truth would only paralyze him lay it down lay it down he sold most of what he cherished the rest he let them steal shot his dog out in the open field the rest he let them steal he broke all of his promises under a sea green sky they never thought to ask him why under a sea green sky lay it down lay it down please bury me in the cottonwood trees the ground grown too cold for me going to sleep tonight in a warm feather bed the ground grown too cold for me zero lay it down lay it down
439,442,Level 42,Something About You,happy,how how can it be that a love carved out of caring fashioned by fate could suffer so hard from the games played once too often but making mistakes is a part of lifes imperfections born of the years is it so wrong to be human after all drawn into the stream of undefined illusion those diamond dreams they cant disguise the truth that there is something about you baby so right i wouldnt be without you baby tonight if ever our love was concealed no one can say that we didnt feel a million things and a perfect dream of life gone fragile but free we remain tender together if not so in love its not so wrong were only human after all these changing years they add to your confusion oh and you need to hear the time that told the truth that there is something about you baby so right dont want to be without you baby tonight because theres something about you baby so right i couldnt live without you baby tonight i know theres something about you and i couldnt live without you tonight
440,443,Kinks,You Really Got Me,angry,girl you really got me goin you got me so i dont know what im doin yeah you really got me now you got me so i cant sleep at night yeah you really got me now you got me so i dont know what im doin now oh yeah you really got me now you got me so i cant sleep at night you really got me you really got me you really got me see dont ever set me free i always want to be by your side girl you really got me now you got me so i cant sleep at night yeah you really got me now you got me so i dont know what im doin now oh yeah you really got me now you got me so i cant sleep at night you really got me you really got me you really got me fuck off oh no see dont ever set me free i always want to be by your side girl you really got me now you got me so i cant sleep at night yeah you really got me now you got me so i dont know what im doin now oh yeah you really got me now you got me so i cant sleep at night you really got me you really got me you really got me
441,444,Britney Spears,Oops!...I Did It Again,happy,mmm yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah i think i did it again i made you believe were more than just friends oh baby it might seem like a crush but it doesnt mean that im serious cause to lose all my senses that is just so typically me ooh baby baby oops i did it again i played with your heart got lost in the game oh baby baby oops you think im in love that im sent from above im not that innocent you see my problem is this im dreamin away wishin that heroes they truly exist i cry watching the days cant you see im a fool in so many ways but to lose all my senses that is just so typically me oh baby oh oops i did it again i played with your heart got lost in the game oh baby baby oops you think im in love that im sent from above im not that innocent yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah all aboard britney before you go theres something i want you to have oh its beautiful but wait a minute isnt this yeah yes it is but i thought the old lady dropped it into the ocean in the end well baby i went down and got it for ya aw you shouldnt have oops i did it again to your heart got lost in this game oh baby baby oops you oops you think that im sent from above im not that innocent oops i did it again i played with your heart got lost in the game yeah yeah oh baby baby oops you think im in love that im sent from above yeah yeah im not that innocent not that innocent babe oops i oops i did it again did it again to your heart i played with your heart got lost got lost in the game in this game oh baby oh baby baby oops you oops you think im in love think that im sent that im sent from above im not that innocent
442,445,The Cure,The Promise,angry,how time will heal make me forget you promised me time will heal make me forget you promised me love will save us all and time will heal you promised me you promised me you promised me how love will save make me forget you promised me love will save make me forget you promised me time will heal us all and love will save you promised me i trusted you i wanted your words believed in you i needed your words time will heal make me forget and love love will save us all you promised me another wish another way you promised me another dream another day you promised me another time you promised me another life you promised me you promised me you promised me so i swallowed the shame and i waited buried the blame and i waited choked back years of memories i pushed down the pain i waited trying to forget trying to forget trying to forget trying to forget trying to forget you promised me another wish another way you promised me another dream another day you promised me another time you promised me another lie you promised me you promised me you promised me you promised me here i waited and i waited and i waited and i waited and i waited and i waited and im still waiting
443,446,Diary of Dreams,Tears of Laughter,sad,i would be crying tears of laughter if i could see me smile again i still reach for the stars but all i touch is my horizon i still believe my eyes but all i see is my blindness i still reach for the stars but all i touch is my horizon i still believe my ears but all i hear is lasting silence like a disciple of a witness i judge upon my sacred eye still i found the origin in whats left of me inside can i call this my burden or is this just my dream to fly i would be crying tears of laughter if i could see me smile again weaker weaker every day i forgot my urge to fly away and is my life as bare as it is cold and lonely enough have you achieved what you were longing for sad enough this cannot be undone i drop my eyes and shiver as i see the reflection in the mirror of me have you given up my friend forgiveness be mine i still reach for the stars but all i touch is my horizon can i call this my burden or is this just my dream to fly i would be crying tears of laughter if i could see me smile again
444,447,Kate Havnevik,Not Fair,relaxed,he got away with thousands of dollars he got away from the state police he got away with emotional murder he slipped away with the summer breeze its not fair to call it a day its not fair to just walk away its not fair to bring me down its not fair to leave a mess behind he got away with the ultimate shakedown he ran away from the scene of the crime he got away from everyone in his way gone and not a trace left behind its not fair to catch me out its not fair to leave me in doubt no its not fair to not explain its not fair to leave a mess behind howd you pull it off howd you get away with it i never stood a chance oh you left me to die its not fair to pull me down its not fair to make me run around no its not fait to not explain its not fair to make me ask you why to leave a mess behind to make me ask you why
445,448,Gwen Stefani,Hollaback Girl,happy,uh huh this my shit all the girls stomp your feet like this a few times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girl a few times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girl ooh this my shit this my shit ooh this my shit this my shit ooh this my shit this my shit ooh this my shit this my shit i heard that you were talking shit and you didnt think that i would hear it people hear you talking like that getting everybody fired up so im ready to attack gonna lead the pack gonna get a touchdown gonna take you out thats right put your pom poms down getting everybody fired up a few times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girl a few times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girl ooh this my shit this my shit ooh this my shit this my shit ooh this my shit this my shit ooh this my shit this my shit so thats right dude meet me at the bleachers no principals no student teachers both of us wanna be the winner but there can only be one so im gonna fight gonna give it my all gonna make you fall gonna sock it to you thats right im the last one standing and another one bites the dust a few times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girl a few times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girl ooh this my shit this my shit ooh this my shit this my shit ooh this my shit this my shit ooh this my shit this my shit let me hear you say this shit is bananas b a n a n a s this shit is bananas b a n a n a s again the shit is bananas b a n a n a s this shit is bananas b a n a n a s a few times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girl a few times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girl ooh this my shit this my shit ooh this my shit this my shit ooh this my shit this my shit ooh this my shit this my shit
446,449,Manic Street Preachers,The Everlasting,sad,the gap that grows between our lives the gap our parents never had stop those thoughts control your mind replace the things that you despise oh youre old i hear you say it doesnt mean that i dont care i dont believe in it anymore pathetic acts for a worthless cause in the beginning when we were winning when our smiles were genuine in the beginning when we were winning when our smiles were genuine but now unforgiven the everlasting everlasting the world is full of refugees theyre just like you and just like me but as people we have a choice to end the void with all its force so dont forget or dont pretend its all the same now in the end it was set in a different life destroys my days and haunts my nights in the beginning when we were winning when our smiles were genuine in the beginning when we were winning when our smiles were genuine but now unforgiven the everlasting everlasting in the beginning when we were winning when our smiles were genuine in the beginning when we were winning when our smiles were genuine but now unforgiven the everlasting everlasting in the beginning when we were winning when our smiles were genuine in the beginning when we were winning when our smiles were genuine in the beginning when we were winning when our smiles were genuine in the beginning when we were winning when our smiles were genuine
447,450,London After Midnight,Sacrifice,sad,and here we go again weve taken it to the end with every waking moment we face this silent torment id sacrifice id sacrifice myself to you right here tonight cause you know that i love you sacrifice id sacrifice myself to you right here tonight cause you know that i love you darkness is all i want to see i could never put into words what is it you mean to me id sacrifice id sacrifice myself to you right here tonight cause you know that i love you sacrifice id sacrifice myself to you right here tonight cause you know that i love you love you love you the candles burning lower at the window to my soul the reapers at my door now hes come to take me home id sacrifice id sacrifice myself to you right here tonight cause you know that i love you sacrifice id sacrifice myself to you right here tonight cause you know that i love you id id sacrifice id sacrifice id sacrifice id sacrifice sacrifice myself to you right here tonight cause you know that i love you id sacrifice id sacrifice id sacrifice id sacrifice
448,451,Stevie Wonder,A Place In The Sun,relaxed,like a long lonely stream i keep running towards a dream moving on moving on like a branch on a tree i keep reaching to be free moving on moving on cause theres a place in the sun where theres hope for everyone where my poor restless hearts gotta run theres a place in the sun and before my life is done gotta find me a place in the sun like an old dusty road i get weary from the load moving on moving on like this tired troubled earth ive been rolling since my birth moving on moving on cause theres a place in the sun where theres hope for everyone where my poor restless hearts gotta run i know theres a place in the sun and before my life is done gotta find me a place in the sun you know when times are bad and youre feeling sad i want you to always remember yes theres a place in the sun where theres hope for everyone where my poor restless hearts gotta run i know theres a place in the sun
449,452,Donavon Frankenreiter,Butterfly,relaxed,if the road i travel goes bad if the life i live comes unhappy or sad i close my eyes and i dream of my butterfly coming down to rescue me shes my butterfly shes my butterfly if the road i travel goes bad if the life i live comes unhappy or sad i close my eyes and i dream of my butterfly coming down to rescue me shes my butterfly shes my butterfly ah shes my butterfly yah shes my butterfly shes my butterfly shes my butterfly shes my butterfly shes my butterfly shes my butterfly shes my butterfly shes my butterfly shes my butterfly ah shes my butterfly butterfly butterfly yah shes my butterfly butterfly butterfly i said shes my butterfly butterfly butterfly i said shes my butterfly butterfly butterfly
450,453,Tom Petty And The Heartbreakers,The Dark Of the Sun,relaxed,in the dark of the sun will you save me a place give me hope give me comfort get me to a better place i saw you sail across a river underneath orions sword in your eyes there was a freedom i had never known before hey yeah yeah in the dark of the sun we will stand together yeah we will stand as one in the dark of the sun past my days of great confusion yeah past my days of wondering why will i sail into the heavens constellations in my eyes hey yeah yeah in the dark of the sun we will stand together yeah we will stand as one hey yeah yeah in the dark of the sun we will stand together yeah we will stand as one in the dark of the sun hey yeah yeah in the dark of the sun oh in the dark of the sun
451,454,Ozzy Osbourne,War Pigs,angry,generals gathered in their masses just like witches at black masses evil minds that plot destruction sorcerers of deaths construction in the fields the bodies burning as the war machine keeps turning death and hatred to mankind poisoning their brainwashed minds oh lord yeah politicians hide themselves away they only started the war why should they go out to fight they leave that role to the poor yeah time will tell on their power minds making war just for fun treating people just like pawns in chess wait until their judgement day comes yeah now in darkness world stops turning ashes where the bodies burning no more war pigs have the power hand of god has struck the hour day of judgement god is calling on their knees the war pigs crawling begging mercy for their sins satan laughing spreads his wings oh lord yeah
