,lyrics,mood_cats
3774,the pain never stops the race ignore me i sit here twisted and it hurts me the son is near his way made for him among the hopes ten thousand suffering oh how my heart aches the brilliant stories cascade about me to be handsome again thou art all deformed and i feel your pain what i touch with my hand i touch with my heart the affection of stillness kiss the hand that blesses me and as the panting ceased my blood runs now fierce this when i was young before i knew nothing now im the hunted for the guilt that stains my hands,1
2211,sun lights up the day time you light up my life the hand that calls you forward is the hand that leaves me behind and i stand on the ocean shore like an old black and white movie love is tears love is lost again tonight hold me hold me tonight hold me hold me tonight you’ve got a book like this to keep me alive and if its not a rainy day you simply don’t go outside and you’re tired of everything all of the girls and the boys and you’re tired of everything all of your precious toys hold me hold me tonight hold me hold me goodnight sun lights up the daytime you light up my life the hand that calls you forward is the hand that leaves me behind hold me hold me tonight hold me hold me tonight,1
2346,the atlantic was born today and ill tell you how the clouds above opened up and let it out i was standing on the surface of a perforated sphere when the water filled every hole and thousands upon thousands made an ocean making islands where no island should go oh no most people were overjoyed they took to their boats i thought it less like a lake and more like a moat the rhythm of my footsteps crossing flatlands to your door have been silenced forevermore the distance is quite simply much too far for me to row it seems farther than ever before oh no i need you so much closer i need you so much closer i need you so much closer i need you so much closer i need you so much closer i need you so much closer i need you so much closer i need you so much closer i need you so much closer i need you so much closer i need you so much closer i need you so much closer so come on come on so come on come on so come on come on so come on come on so come on come on so come on come on,2
3906,close your eyes and pray the wind will take me far away life is like a stone behind my back of a second degree start life is a feather of fall between the monument tear like a powder fragile the one that blows behind the faithful dead all the doors of eternal gray this weakness take beyond the dream with a silent void youre left while you can hardly breathe vastly they destroy the tears of my lies fears are fading away robbed to face the bitterness in search for my dear castle burries the bite of a queen wherever the sorrow rises from distance like a rainbow ill be there again to weep behind with my tears wake me the second lifeless to be,1
1509,go down go down you stranger theres something waiting for you angels dolls and honey temples and harpoons you want your main line jesus your want your diamond god you want to pull the trigger and kill the autumn home so walk believer walk straight into the sun walk believer walk your work aint ever done pray on pray on my brother nows the time for truth black shadow come a creeping take the soul right out of you can you feel the demons pulling can you hear the devil sing can you taste the poison in your mouth feel the weight of his chains so walk believer walk straight into the sun walk believer walk your work aint ever done ah ah ah ah ah ah ah ah ah ah ah woah ah ah yeah so walk believer walk straight into the sun walk believer walk your work aint ever done yeah walk believer walk straight into the sun yeah walk believer walk your work aint ever done ah ah ah ah ah ah ah ah ah ah ah ah,0
2443,the hardest thing i ve ever done is keep believing there s someone in this crazy world for me the way that people come and go through temporary lives my chance could come and i might never know i used to say no promises let s keep it simple but freedom only helps you say good bye it took a while for me to learn that nothing comes for free the price i ve paid is high enough for me i know i need to be in love i know i ve wasted too much time i know i ask perfection of a quite imperfect world and fool enough to think that s what i ll find so here i am with pockets full of good intentions but none of them will comfort me tonight i m wide awake at four a m without a friend in sight hanging on a hope but i m alright i know i need to be in love i know i ve wasted too much time i know i ask perfection of a quite imperfect world and fool enough to think that s what i ll find i know i need to be in love i know i ve wasted too much time i know i ask perfection of a quite imperfect world and fool enough to think that s what i ll find,1
3954,a heart thats full up like a landfill a job that slowly kills you bruises that wont heal you look so tired and unhappy bring down the government they dont they dont speak for us ill take a quiet life a handshake of carbon mono ide no alarms and no surprises no alarms and no surprises no alarms and no surprises silent silent this is my final fit my final bellyache with no alarms and no surprises no alarms and no surprises no alarms and no surprises please such a pretty house such a pretty garden no alarms and no surprises let me out of here no alarms and no surprises let me out of here no alarms and no surprises please let me out of here,0
1184,it was hard to love a man like you goodbye was half the words you knew while you was waiting for me not to call i sent my love i sent my love in a life built out of only goodbyes is there even room for you to try while you was waiting for me not to call i sent my love i sent my love it was hard to love a man like you goodbye was just what you do in a life built out of only goodbye is there even room for you is there even room for you while you was waiting for me not to call i sent my love i sent my love,1
1327,i want no one to escape i hear the footsteps going by watching myself slowly die sharp pain impaling through my heart slowly tearing me apart one minute you re an angel fallen from grace ne t the fist that i hate pickin me up from the gutter with a gentle kiss then rips out my heart to show me how black it is no you re no good it feels so cold yet i m watching back i ll die alone i hear the footsteps walking by watching myself slowly die sharpening pain impaling through my heart slowly tearing me apart when you appear as an angel knocking me down looking my way could you ever kill the pain in my heart even though they say angels don t kill no you re no good it feels so cold yet i won t turn back i ll die alone no you re no good it feels so cold yet i won t turn back i ll die alone,3
2183,everything is gone but the echo of the burst of the shell and im stuck here waiting for a passing feeling in the city i built up and blew to hell im stuck here waiting for a passing feeling still i send all the time my request for relief down the dead power line though im beyond belief in the help i require just to e ist at all took a long time to stand took an hour to fall im stuck here waiting for a passing feeling stuck here waiting for a passing feeling still i send all the time my request for relief down the dead power line though im beyond belief in the help i require just to e ist at all took a long time to stand took an hour to fall,1
2301,the months go by i dont think of you the signal is frail an imprint of what you do so i turn up the sound and you are nowhere i have learnt this to my cost but i maintain in the slow lane i maintain in the slow lane the scent goes by still i smell of you you say i cry at the merest thought of you so you let me down to laugh at nothing i have learnt this for myself but i maintain in the slow lane i maintain in the slow lane so i turn down the sound and you are nowhere i have learnt this to my cost but i maintain in the slow lane i maintain in the slow lane i maintain in the slow lane so turn down the sound cuz you are nowhere you let me down to laugh at nothing i have learnt this to my cost i have learnt this for myself i have learnt this to my cost i have learnt this for myself i have learnt this to my cost i have learnt this for myself i have learnt this to my cost i have learnt this for myself,3
711,on this dawn the colours of the autumn are reflected by a light a light that as been captured for years in oblivion circles of wind are raging now and so his powers are slowly dying before the coldness rapes the lands his spirit is wandering into the night to die and he heard chimes ahead playing these enchanted notes that lead him to a wooden cabin where he could rest for the night over the mountains he had travelled across the oceans deep in the night now when its time to say last farewell show us your power show us your might gift from the sky his eyes can see it so clearly now but his restless mind cannot sense it in the air the white storm is close and his powers gained in this mystical place more than he ever possessed before so now he could rule the realms of ice once again,3
1790,poor boy why dont you try getting water poor boy why dont you try getting sleep i think if one of us is going to suffer why shouldnt it be me poor boy your wife is in hard labor the rhythm you know is pulsing and drifting to the grave when you come to youll be asking yourself just one question was i always this way was i always this way think back a year when everything stood at the surface but bandage you cuts cause you dont know what swims underneath hold tight the bondage of this life is slipping why shouldnt it be me why shouldnt it be me when i come back youll be the brightest star in the black when there are days that you want the call were all waiting for think back poor boy your wife is in hard labor go buy the flowers youll leave on its grave you went with the goal of movement now one thing is different you dont want to change i dont want to change,2
2507,its time to let ya go its time to say good bye theres no more e cuses no more tears to cry theres been so many changes i was so confused all along you were the one all the time i never knew i want ya to be happy youre my best friend but its so hard to let ya go now what could have been ill always have the memories shell always have you fate has a way of changing just when you dont want it to throw away the chains let love fly away till love comes again ill be okay life passes so quickly ya gotta take the time youll miss what really matters youll miss all the signs ive spent my life searchin for what was always there sometimes it will be too late sometimes it wont be fair throw away the chains let love fly away till love comes again ill be okay bridge i wont give up i wont give in i cant recreate what just might have been i know that my heart will find love again now is the time to begin throw away the chains let love fly away till love comes again ill be okay ill be okay ill be okay cant hold on forever baby cant hold on forever baby cant hold on forever baby ill be okay,2
4046,i just cant seem to face the truth since you said that we were through on a summer night yes sir i lost the other half of my best friend those who lost you most will will you for my life sic baby im still right there holding you summer breeze brought some love for me and you youve got me burning all love inside but i always fantasize in my mind baby just my imagination playing tricks on me again yall just my imagination playing tricks on me again feel your body im touching you love me good like you used to do on a summer night summer night i lost the other half of my best friend those who lost you most will sicwill you for my life baby im still right here holding you you can tell im about to get ne t to you youve got me burning all love inside but i always fantasize in my mind just my imagination playing tricks on me again yall just my imagination playing tricks on me again love love love love love woo hoo ho hoooo love,1
564,ah aaah ah aaah baby theres been a lot going on baby theres been a lot going on i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it baby oh baby baby oh baby lately ive made a life on my own lately ive made a life on my own i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it aah aah aaaah oooh ooh ooooh aah aah aaaah i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it i cant really talk about it,1
3196,how do i say goodbye to what we had the good times that made us laugh outweigh the bad i thought wed get to see forever but forevers gone away its so hard to say goodbye to yesterday i dont know where this road is going to lead all i know is where weve been and what weve been through ooh if we get to see tomorrow i hope its worth all the wait its so hard to say goodbye to yesterday and ill take with me the memories to be my sunshine after the rain its so hard to say goodbye to yesterday and ill take with me the memories to be my sunshine after the rain its so hard to say goodbye to yesterday,2
44,such worthless crust and crazed now cring to slap the wrist i sense you cracked and weak the none istent wont care when you fail to wake i sense you cracked and weak i wonder if you would i wonder if you could please just a small taste of the offer unrefused bonded by a muddy crippled story and now i wonder if you really ever could i wonder if you could i wonder if you would youre no good self sodomize once more whore slut et fragile and tight a reckless mangled conscience with only the imbalance of evils wait for guidance end it all now,3
1373,carry this picture for luck kept in a locket tucked in your collar close to your chest make it a secret shown to the closest friends and meet me at quarter to seven the sun will still shine then at this time of year well head to the inlet and well share a bottle there and color the coast with your smile its the most genuine thing ive ever seen i was so lost but now i believe and follow me south of the big docks where they tether the boats the rich men revere as so important they hire our fathers to steer and down to the edge of the water where well spill our guts and well name our fears ill give you this picture keep it and dont be scared and color the coast with your smile its the most genuine thing ive ever seen i was so lost but now i believe in the coast your smile is the most genuine thing ive ever seen i was so lost but now i believe now i believe now i believe now i believe,2
1766,oh some girls hold the ace the deuce the trey x ray the deck to see whats coming marie antoinette she smiled that way easy to smile when the luck is running like a myth you rode in from the west from the go you had my button pressed did the tea time of your soul make you long for wilder days did you never let jack kerouac wash over you in waves sibella we dont make sense together but my hearts with you sibella i found myself strange but true strange but true some say you can learn a lot from books thrill right to second hand living life is just as deadly as it looks but fiction is more forgiving zero you took chances well within your means salon hair and creases in your jeans all those lonely winters long did you really think it through did you really ache for me like i really ached for you sibella we dont make sense together but my hearts with you sibella i found myself strange but true strange but true sibella we dont make sense together but my hearts with you sibella i found myself strange but true strange but true strange but true strange but true strange but true,1
1583,i lay down beside him he gives me kisses follow the tracks from another dream i follow the tracks and spin the conte t i follow the tracks and spin i follow the tracks and spin the conte t into the open i lay amongst the clouds dissolving falling down follow the tracks i promise to send word i enter the visible world with a tongue of secrets i breathe the neon with a calm calm calm calm fear i follow the tracks and spin the conte t i follow i follow i follow the tracks and spin i follow i follow i follow the tracks and spin the conte t i follow i follow i breathe the neon with a calm fear i follow the tracks and spin the conte t i follow i follow i follow the tracks and spin i follow i follow i follow the tracks and spin the conte t i follow i follow i breath the neon with a calm fear i breath the neon with a calm fear i breath the neon with a calm fear,1
3283,i didnt hear you leave i wonder how am i still here and i dont want to move a thing it might change my memory oh i am what i am ill do what i want but i cant hide and i wont go i wont sleep and i cant breathe until youre resting here with me and i wont leave and i cant hide i cannot be until youre resting here with me dont want to call my friends for they might wake me from this dream and i cant leave this bed risk forgetting all thats been oh i am what i am ill do what i want but i cant hide and i wont go i wont sleep and i cant breathe until youre resting here with me and i wont leave and i cant hide i cannot be until youre resting here and i wont go i wont sleep and i cant breathe until youre resting here with me and i wont leave and i cant hide i cannot be until youre resting here with me oh i am what i am ill do what i want but i cant hide and i wont go i wont sleep and i cant breathe until youre resting here with me and i wont leave and i cant hide i cannot be until youre resting here and i wont go i wont sleep and i cant breathe until youre resting here with me and i wont leave and i cant hide i cannot be until youre resting here with me,1
3713,talking with my brother when the lights went out down the hallway forty years ago and what became much harder was so easy then opening up and letting go disembodied voices floating in the air this place in the darkness could be anywhere talking to each other as we wait for sleep the angel in the detail soon arrives spreading her wings over every memory and keeping all our hopes alive disembodied voices floating in the air this place in the darkness could be anywhere we all made our choices lets work out what were going to do disembodied voices revealing what we know is true and so much is here if we all disappear we could be anywhere we could be anywhere we could be anywhere we could be we could be anywhere we could be anywhere we could we could be anywhere,2
806,when the sun was down i opened my eyes and i looked around all the stars were bound to fall from the sky i would make no sound take good care take good care i can hold you and console you i can show you another rainbow take good care minus zero i can make you one i can hold you like i told you i can fold you another rainbow take good care minus zero i can make you one wheres that distant light there used to be one once we used to lie under the sun all the things that i would treasure have gone now im satisfied i can hold you and console you i can show you another rainbow take good care minus zero i can make you one i can hold you like i told you i can fold you another rainbow take good care minus zero i can make you one,2
2160,why close your eyes to the sky today why do you cry today just because the sky is gray cause its okay if everyday is not the same way its just another way that everyday is not the same how can you see the sky when you close your eyes how can you run away just because the sky is gray cause its okay if everyday is not the same way its just another way that everyday is not the same na na na na na na na na na na na na na na na na na na na na na na na na cause its okay if everyday is not the same way its just another way that everyday is not the same oh its okay if everyday is not the same way its just another way that everyday is not the same,2
3480,ive been gone away but im back again back with all my friends ive been floatin away on a silver cloud lined with all my wildest dreams chorus im back in your system now and ive waited much too long back in your system and im back in your system now and ive finally come back home ive been thinking of days back when we began when we first made our first stand and i get taken away on a silver cloud lined with all my wildest dreams chorus im back in your system now and ive waited much too long and im back in your system now and ive finally come back home im back into your system theres a way to find it repeat three theres a way to see zero point repeat three theres a way to get back into your system repeat three system my minds set chorus repeat three im back in your system now ive waited for much too long im back in your system now and ive found my way back home im back in your system theres way to find it theres a way to see it theres a way to get back into your system system,2
1982,that sky is a shine with sheen those eyes are a green machine spare me your whining in my rainy gazebo tree deep in my silver pit the walls are all thick with it my but you slay me in my rainy gazebo tree bless my baby eyes dont you know jesus died im better off inside strip and you lose your hide whats in that thermos man your females a garbage can so you havent filled her up okay try to fill my cup its moonshine from cactus well i guess it cant wreck us bless my baby eyes dont you know jesus died im better off inside strip and you lose your hide bless my baby eyes dont you know jesus died spare me your moon shining in my rainy gazebo tree in my rainy gazebo tree in my rainy gazebo tree,1
1813,i saw it leave your face its the only thing that i need its the only thing that i need so take it i caught you and your canvas eyes with the only thing that i need with the only thing that i need but take it something you put in the waste im craving its the only thing that i need its the only thing that i need but take it if youd prefer it erased then bleach the place its the only thing that i need its the only thing that i need but my heart it never breaks it just beats on despite the ache and the day i touch you and make you see broken well be you and me the birds fly south tonight theyve given up its the only thing that i need its the only thing that i need but take it the skies grow dark beneath their wings what does it mean its the only thing that i need its the only thing that i need but my heart it never breaks it just beats on despite the ache and the day i touch you and make you see broken well be you and me,3
1137,hey mama dont you treat me wrong come and love your daddy all night long alright now hey hey alright see the girl with the diamond ring she knows how to shake that thing alright now now now hey hey hey hey tell your mama tell your pa im gonna send you back to arkansas oh yes maam you dont do right dont do right when you see me in misery come on baby see about me now yeah alright alright ah play it boy when you see me in misery come on baby see about me now yeah hey hey alright see the girl with the red dress on she can do the birdland all night long yeah yeah whatd i say alright well tell me whatd i say yeah tell me whatd i say right now tell me whatd i say tell me whatd i say right now tell me whatd i say tell me whatd i say yeah and i wanna know baby i wanna know right now and a i wanna know and i wanna know right now yeah and a i wanna know said i wanna know yeah what whats that whats that whats that alright hey hey ho ho hey hey ho ho hey hey ho ho oh one more time just one more time say it one more time right now just one more time say it one more time now just one more time say it one more time yeah just one more time say it one more time just one more time say it one more time yeah just one more time hey hey ho ho hey hey ho ho hey hey ho ho ah make me feel so good make me feel so good make me feel so good now yeah make me feel so good whoa baby make me feel so good make me feel so good yeah make me feel so good make me feel so good make me feel so good make me feel so good yeah make me feel so good huh huh ho ho huh huh ho ho huh huh ho ho huh ah its alright baby its alright said that its alright right now baby its alright said that its alright baby its alright said that its alright yeah baby its alright said that its alright baby its alright said that its alright baby its alright whoa shake that thing now baby shake that thing baby shake that thing now now baby shake that thing baby shake that thing baby shake that thing baby shake that thing right now baby shake that thing baby shake that thing baby shake that thing baby shake that thing baby shake that thing whoa i feel alright now yeah make me feel alright said i feel alright now make me feel alright whoa make me feel alright tell you i feel alright yeah make me feel alright said i feel alright make me feel alright baby i feel alright make me feel alright,0
1917,belinda was mine until the time that i found her holdin jim and loving him then sue came along loved me strong thats what i thought me and sue but that died too dont know that i will but until i can find me a girl wholl stay and wont play games behind me ill be what i am a solitary man a solitary man ive had it to here being where loves a small word a part time thing a paper ring i know its been done having one girl who loved me right or wrong weak or strong dont know that i will but until love can find me and a girl wholl stay and wont play games behind me ill be what i am a solitary man a solitary man,0
425,its my vision a total one encompassing the only one a world complete thats all my own e actly as as it should be oh i lost myself i lost myself i lost myself i lost myself you cant see how because i am just a cloud a cloud everything adds up to a truth maybe now i can know me too i have you now where you should be you are mine now but i lost me im a cloud i lost myself i lost myself i lost myself i lost myself you cant see how because i am just a cloud a cloud i lost myself i lost myself because because i lost myself i lost myself you cant see how you cant see how because i am just a cloud a cloud resplendent dream it overtook me i had no choice but build it i made it all i built it up i built it up i lost myself i built it up i lost myself up i lost myself i lost myself because because because i am just a i lost myself i lost myself i lost myself you cant see how you cant see how because i am just a cloud a cloud a cloud a cloud i lost myself i lost myself you cant see how i lost myself i lost myself because i am just a,0
2184,finally the storm arrives our wait is at an end under dark winter skies we make our final stand for each of us there are four of them it matters not to us we wont leave this field in shame we are here to crush futile to resist you know why we have come futile to resist the battle is already won our hearts are full of pounding rage our minds hard as steel and before the dying day we will have you kneel the snow turns red from all the blood severed limbs and heads a sacrifice to one eyed god he will claim the dead under winter skies we stand glorious and with oden on our side we are victorious no retreat no remorse victory will be ours blood on steel sacrifice victory will be ours under winter skies we stand glorious and with oden on our side we are victorious futile to resist you know why we have come futile to resist the battle is already won futile to resist you know why we have come futile to resist the battle is won,3
3673,thousands of stars surround this world and i always wonder where the border gets to the end thousands of questions in my head how many times you have been standing in front of millions lights still flashing light years away down to the hole of time and space how can you tell where all this world end matter and form or just disorder filling this space multi dimensional arrays just take a trip and try to imagine how many stars that now keep flashing vanished away down to the uni embrace can you imagine worlds so many miles away from here how many different words and how many ways to feel the same can you imagine worlds so many miles away from here but i would bet for sure the meaning of love is still is still the same thousands of stars surround this world and i always wonder where the border gets to the end thousands of questions in my head how many times you have been standing in front of millions lights still flashing light years away down to the hole of time and space can you imagine worlds so many miles away from here how many different words and how many ways to feel the same can you imagine worlds so many miles away from here but i would bet for sure the meaning of love is still is still the same,1
3564,things in this world seem so far away once again i wonder where i am somewhere someones speaking but i cannot hear and once again it all falls apart but still i wait here trying to find some remnant of myself my days a dull aching please tell me what im waiting for all my days are fading into one all my days are fading all my days are fading into one all my days are fading away things in this world have never seems so gray once again i wonder what ive become somewhere somethings breaking this worlds so dead when i cannot feel whats in my head but still i wait here trying to find some remnant of myself my days a dull aching please tell me what im waiting for,1
3537,i feel like a song without the words a man without a soul a bird without its wings a heart without a home i feel like a knight without a sword the sky without the sun cause you are the one i feel like a ship beneath the waves a child that lost its way a door without a key a face without a name i feel like a breath without the air and every days the same since youve gone away i gotta have a reason to wake up in the morning you used to be the one that put a smile on my face there are no words that could describe how i miss you and i miss you every day yeah and im never gonna leave your side and im never gonna leave your side again still holdin on girl i wont let you go cause when im lyin in your arms i know im home they tell me that a man can lose his mind livin in the pain the call in times gone by the cryin in the rain you know ive wasted half the time and im on my knees again til you come to me yeah i gotta have a reason to wake up in the morning you used to be the one that put a smile on my face there are no words that could describe how i miss you and i miss you every day yeah and im never gonna leave your side and im never gonna leave your side again still holdin on girl i wont let you go i lay my head against your heart i know im home i know im home i know im home and im never gonna leave your side gonna leave your side and im never gonna leave your side again never still holding on girl i wont let you go cause when im lyin in your arms i know im home,0
2072,im told the case is now closed so i can come to my senses but when the question is posed ill have this meager defense i was hoping that youd know better than that i was hoping but youre an amateur i was hoping that youd know better but ive been wrong before despite conclusions i drew there was a chance youd surprise me and youd be better than you cause id have left otherwise i was hoping that youd know better than that i was hoping but youre an amateur i was hoping that youd know better but ive been wrong before so i wasnt thinking clearly so you didnt think at all i thought that was protocol i was hoping that youd know better than that i was hoping but youre an amateur i was hoping that youd know better but ive been wrong before,1
600,silver birch against a swedish sky the singer in the band made me want to cry were all inside our own heads now we are leaving new friends leaving this town and i wish you could be here with me i would show you off like a trophy the road it winds it twists it turns oh my stomach burns once again ill be the foolish one thinking a blink of these lashes would make you come dont you worry dont get in a state i dont believe in true love anyway oh whos been pessimistic now i could document this as our first as our last row the more you look forlorn more to you ill warm i wont be seeing you for a long while oh i hope its not as long as these country miles i feel lost i feel lost no i wont be seeing you for a long while i hope its not as long as these country miles i feel lost i feel lost no i wont be seeing you for a long while i hope its not as long as these country miles i feel lost i feel lost no i wont be seeing you for a long while i hope its not as long as these country miles i feel lost i feel lost i feel lost i got lost,2
1914,i met you through a common friend in the attic of my parents house and though i didnt know it then i soon was finding out you are the roots that sleep beneath my feet and hold the earth in place each time a faucet opens words are spoken the water runs away and i hear your name no nothing has changed there was this book i read and loved the story of a ship who sailed around the world and found that nothing else exists beyond his own two sails and wooden shell and what is held within all else is sure to pass we clutch and grasp and debate whats truly permanent but when the wind starts to shift well theres no argument now i sing and drink and sleep on floors and try hard not to be annoyed by all these people worrying about me so when im suffering through some awful drive you occasionally cross my mind its my hidden hope that you are still among them well are you oh you are the roots that sleep beneath my feet and hold the earth in place each time a curtain opens sunlight pours in a lifetime melts away and we share a name on some picturesque grave,2
3182,even after all the murdering even after all your suffering so you know i love you so you know i love you so and so even after all all that you go on sir is the order of the day and all that you believe sir is the order in this society you know i love you so you know i love you so and so even after all this is my manner yall man just feel satisfied no competition no competition at all i just feel satta star them eyes are gorgeous girl no demise uprise i got to raise it again them eyes are gorgeous i must advance i dont check for no superficial its got to be beneficial these sonic fruits these sonic fruits sight these sonic fruits got them moving around alright hyper play steppin and rising even after all the murdering that go on even after all oh no your suffering so you know i love you so you know i love so and so even after all you just survive soldier and your soul is beautiful and your soul is good,2
2166,at home he feels like a tourist at home he feels like a tourist he fills his head with culture he gives himself an ulcer he fills his head with culture he gives himself an ulcer down on the disco floor they make their profit from the things they sell to help you cob off and the rubbers you hide in your top left pocket at home shes looking for interest at home shes looking for interest she said she was ambitious so she accepts the process she said she was ambitious so she accepts the process down on the disco floor they make their profit from the things they sell to help you cob off and the rubbers you hide in your top left pocket two steps forward si steps back si steps back si steps back si steps back small step for him big jump for me big jump for me big jump for me big jump for me two steps forward si steps back si steps back si steps back si steps back small step for him big jump for me big jump for me big jump for me big jump for me at home she feels like a tourist at home she feels like a tourist she fills her head with culture she gives herself an ulcer why make yourself so an ious you give yourself an ulcer,3
1038,here i am everyday since you said youd come again but its not fair cos youre not here i wait in vain but nothing has chaaanged im a flower soaking in the rain if i could wish one thing id hear you call my name so when will i see your face again when will you touch my life again ohh yeah when will i breathe you in again ha i think i love youuu will i see your face again nd little thing like the rain coming she looked at me a certain kind of way tell me girl where are you nowww cause i dont know how much longer i can waaait im a dreamer waiting for the sun when youre coming in i know my lifes begun tell me girl when will i see your face again ohh yeaaah when will you touch my life again ummm um when will i breathe you in again i think i love youuu will i see your face again you know that all my life ive been waaaiting waiting for sooome someone like you to love me you cant come by like an angel into my life and then fly awaaaay flyyyyyy away oh honey cos i uh baby ba ba doo yeah ohh ohhhh sing ive only seen youuu oh i said uh huh i said i said yeah woo when will i see your face again i wanna see you once in my life when will you touch my life again wanna see you twice in my life when will i breathe you in again ohhh i think i love youuu will i see your face again i said see bap pa da doo ba ba ohhh bap ba doo yeah thats what we do yeaahhh ohh when will iii see your face again my friend oh yeah i think you gotta let me know yeah ohh yeahhh,0
783,couldnt leave you if i tried couldnt weather this alone and through the darkness you still provide the sweetest love ive ever known take the shadow from the road i walk upon be my sunshine sunshine and in the emptiness you look and find someone the damage is undone and love has made you strong and heaven gave me mine thalheim the saddest words have come undone changing the very air i breathe and miracles have just begun in which only you and i believe take the shadow from the road i walk upon be my sunshine sunshine and in the weightlessness you look and find someone the damage is undone and love has made you strong heaven gave me mine thalheim when im all the sea you never let me down ill just keep coming back to you ‘til i walk on solid ground from the foothills to the mountains on the waters of the rhine face to face in shahbagh gardens in communion out of time thalheim thalheim from the lilies of the valley to the grapes upon the vine the well of speculation is it his or hers or mine thalheim thalheim in the everything and nothing in disharmony and rhyme in the sound of shot and echo whos the victim whats the crime whats the crime be my be my sunshine in the keening cries of evening unforgotten underlined we slipped into the water out of focus out of time,1
1268,take a deep breath cause it all starts now when you pull the fuckin pin the shrapnel burns as it tears into the skin ever wonder what it takes to be questioning your faith this is what its like when it happens every goddamn day violence is our way of life shards of life like confetti in the air the flesh storm grows as it breeds despair you hear screams in the distance fighting the resistance not cries of war these are just the sounds of pain its all just psychotic devotion manipulated with no discretion killings in style and its now the main event the cameras are whores for the daily bloodshed like a junkie hungry for a fix of anything the media devours and feasts upon the inhumane violence is our way of life its all too fuckin clear we can never coincide so lets all drink to genocide all the venomous sights border on the arcane in times of war everything is bound by pain its all just psychotic devotion manipulated with no discretion warfare knows no compassion thrives with no evolution unstable minds exacerbate unrest in peace theres no future the world is dead so save the last bullet for your head only the fallen have won because the fallen cant run my visions not obscure for war there is no cure so here the only law is men killing men for someone elses cause its all just psychotic devotion manipulated with no discretion its all just psychotic devotion manipulated with no discretion,3
3718,pay close attention dont listen to me from now georgell be flying this one and its anyones guess how he does this is the right turn wrong uni and taking me in full bloom fireball careful with that there see what you made me do i must be dreaming or were on to something i must be dreaming for i dont fall in love lawlessly i must be dreaming or pinch me to waking so undeniably yours as long as im losing it so completely incendiary glance become and collide in me zoom in enhance hold while i go helplessly sky high magic eye sugar rushing dont stop i must be dreaming or were onto something hey just what dyou make me for i dont fall in love lawlessly i must be dreaming or pinch me to waking so undeniably yours as long as im losing it so completely euphoria i cant take any more of you euphoria i cant take any more of you im losing it i must be dreaming or were onto something hey just what dyou make me for i dont fall in love lawlessly i must be dreaming or pinch me to waking so undeniably yours as long as im losing im losing it im losing it here im losing it im losing it here i must be dreaming im losing it here i must be dreaming im losing it here i must be dreaming,2
3987,headlights and red eyes a warm beer between your thighs mess of pills hollywood hills the red lights read me my rights going in a circle getting tighter every turn think you re getting better but you re never quite sure say it s all ahead of you how far can you see you re living on your knees driver please find your feet the light s green but you spaced the keys you re going fast but it won t last you re all speed and no gas going in a circle never getting to the point burning up the atmosphere my rocket ship boy you say there s a finish line you re already beat you re living on your knees rocket boy my only son you look so sad but you re so young you get so high you re all alone rocket boy come home notebook some notes you took a big hit with a crooked hook your best friend is you again you can t win but you won t give in going in a circle getting lower every time say it isn t hurting but i never see you smile asking for the doctor and calling you a priest you re living on your knees rocket boy you burn so bright and i believe you lie so beautifully when you get high you re all alone rocket boy come home dad it s me again — i hate to call could you come down there s been an accident were you involved yes sir no sir they say i was got home cried alone the video will surely show no one knows i came this close to being me but i lost us both going in a circle and it s keeping you around you ve been here forever but you ve never been found you didn t want a witness and i didn t want to see you living on your knees rocket boy my only son you look so sad but you re so young you get so high you re all alone rocket boy come home,0
1390,i believe in something else now go bother someone else stick your fingers in your book take a better second look you crook i hate it when you breach my space and i hate it when you preach your case and you should go down down save someone else i think i should warn you i think i should tell what youve been doing it makes you go to hell i hate it when you preach your case it makes me want to stick my dick in your face and you should go down down save someone else can your preacher bring me down oh i dont think so oh and i hate it when you breach my space and i hate it when you preach your case and you should go down down save someone else and you should go down down save someone else,1
778,i dream that someday we ll be able to look back on this together and say it was for the best and that it made us stronger to day stronger today there s much more for us to see a brand new day for you and me and with confidence i say we re better than ever and i don t know where this will lead but in my life you need to be cause i need to say hello again i m so afraid that if i wait too long you ll never look in my eyes again with a look that gave me strength and gave me hope and made me feel i ve inspired there s much more for us to see a brand new day for you and me and with confidence i say we re better than ever and i don t know where this will lead but in my life you need to be cause i need to say hello again hello again hello again yeah hello again there s much more for us to see a brand new day for you and me and with confidence i say we re better than ever and i don t know where this will lead but in my life you need to be cause i need to say hello again there s much more for us to see a brand new day for you and me and with confidence i say we re better than ever and i don t know where this will lead but in my life you need to be cause i need to say hello again,1
